id,line_id,station_1_id,station_2_id
LGN-BKH,CTR,BKH,LGN
WRR-EUS,NOR,WRR,EUS
NHT-GFD,CTR,NHT,GFD
SKW-BXN,VIC,BXN,SKW
SGT-OAK,PIC,SGT,OAK
WKA-PAC,BKL,PAC,WKA
WIG-KBN,JUB,WIG,KBN
RGP-BST,BKL,RGP,BST
ODS-MGT,NOR,MGT,ODS
LSQ-CHX,NOR,CHX,LSQ
WYP-PRD,MET,PRD,WYP
TNG-HSD,PIC,TNG,HSD
BST-BND,JUB,BST,BND
GGH-CWL,CTR,CWL,GGH
CTN-CFM,NOR,CTN,CFM
WRP-RSG,CTR,WRP,RSG
HWT-HWC,PIC,HWT,HWC
CSM-CAL,MET,CSM,CAL
NBP-GTH,CTR,GTH,NBP
HTD-BZP,NOR,BZP,HTD
KSX-AGL,NOR,AGL,KSX
KWG-GBY,DST,KWG,GBY
WTA-NAN,CTR,WTA,NAN
WSM-EMB,CIR,EMB,WSM
THB-DBN,CTR,DBN,THB
MTC-EUS,NOR,EUS,MTC
HR4-HNX,PIC,HR4,HNX
SWC-FYR,JUB,FYR,SWC
WSM-GPK,JUB,GPK,WSM
TBY-CSD,NOR,CSD,TBY
OSY-HWE,PIC,HWE,OSY
KNG-EAC,NOR,KNG,EAC
SNB-LYS,CTR,LYS,SNB
TMH-BLR,VIC,TMH,BLR
SGP-HSN,BKL,HSN,SGP
NHG-BWT,CIR,NHG,BWT
WWL-BLR,VIC,BLR,WWL
NHG-HSK,CIR,HSK,NHG
ECM-ACT,DST,ECM,ACT
RYL-EAE,MET,EAE,RYL
WLA-LRD,CIR,WLA,LRD
NBP-BKE,CTR,NBP,BKE
TMP-EMB,CIR,TMP,EMB
MBA-LGT,CTR,LGT,MBA
CYF-CWR,JUB,CWR,CYF
KSH-CTN,NOR,CTN,KSH
WYC-SGP,BKL,SGP,WYC
WSD-LYS,CTR,LYS,WSD
NHA-HOH,MET,NHA,HOH
NDN-DOH,JUB,NDN,DOH
QWY-NHG,CTR,NHG,QWY
WKN-ECT,DST,WKN,ECT
PYB-PSG,DST,PYB,PSG
RSM-EAE,MET,RSM,EAE
VXL-SKW,VIC,SKW,VXL
WOF-BKH,CTR,WOF,BKH
